Emoji,2019,2020,2021,2022,2023,2024,2025
😂,32,26,37,82,55,1,27
❤️,70,46,50,74,49,69,78
🙏,31,80,20,54,99,76,10
😭,22,80,86,77,7,69,3
🥺,73,18,28,80,16,46,4
🔥,21,89,26,66,98,24,90
✨,28,39,47,52,65,9,40
👍,59,13,24,72,80,51,43
💀,47,97,76,49,96,1,52
🤔,48,86,52,98,60,79,10
🥳,49,26,93,71,27,42,50
😎,100,96,31,63,20,46,56
🌈,50,19,15,60,72,81,93
🍕,25,77,67,90,94,85,75
🐶,32,89,62,81,12,55,7
🚀,43,77,49,81,90,6,79
🎉,92,38,40,12,19,5,61
🎶,4,47,53,11,37,62,17
📸,5,2,15,29,62,24,60
⚡,69,100,57,32,48,63,95
😡,23,14,13,80,35,77,51
🤯,95,79,83,10,97,43,73
🤡,19,23,76,37,21,78,24
😴,93,85,71,10,97,34,70
👀,24,49,37,16,61,6,84
🙃,43,21,3,42,70,11,63
🫶,36,2,98,28,56,21,90
💯,43,13,45,10,20,40,30
🍔,84,36,60,2,91,29,30
🐱,29,68,6,80,31,67,71
🦄,33,42,70,99,94,39,93
👑,26,82,90,81,6,66,88
💃,51,95,59,44,45,18,40
🕺,16,65,74,36,25,55,18
🎂,32,2,55,80,9,27,62
☕,4,60,1,29,57,69,39
📚,78,28,11,20,55,60,48
🎮,72,20,17,8,38,51,27
🏆,36,92,22,30,39,43,34
✈️,93,53,68,29,18,44,89
🌍,20,68,89,90,26,15,55
🪐,92,57,40,56,46,71,87
🌞,54,30,35,46,28,36,52
🌚,34,33,31,28,16,21,46
🌊,92,4,67,59,3,100,73
🍦,37,8,79,87,80,81,94
🍩,67,64,80,3,86,92,79
🥗,79,99,52,66,94,53,49
🥨,91,36,78,89,11,60,67
🍷,89,21,47,52,22,7,71
